"code","date","confirmed","increase","death","recover"
"AFG","2020-01-22",0,0,0,0
"AFG","2020-01-23",0,0,0,0
"AFG","2020-01-24",0,0,0,0
"AFG","2020-01-25",0,0,0,0
"AFG","2020-01-26",0,0,0,0
"AFG","2020-01-27",0,0,0,0
"AFG","2020-01-28",0,0,0,0
"AFG","2020-01-29",0,0,0,0
"AFG","2020-01-30",0,0,0,0
"AFG","2020-01-31",0,0,0,0
"AFG","2020-02-01",0,0,0,0
"AFG","2020-02-02",0,0,0,0
"AFG","2020-02-03",0,0,0,0
"AFG","2020-02-04",0,0,0,0
"AFG","2020-02-05",0,0,0,0
"AFG","2020-02-06",0,0,0,0
"AFG","2020-02-07",0,0,0,0
"AFG","2020-02-08",0,0,0,0
"AFG","2020-02-09",0,0,0,0
"AFG","2020-02-10",0,0,0,0
"AFG","2020-02-11",0,0,0,0
"AFG","2020-02-12",0,0,0,0
"AFG","2020-02-13",0,0,0,0
"AFG","2020-02-14",0,0,0,0
"AFG","2020-02-15",0,0,0,0
"AFG","2020-02-16",0,0,0,0
"AFG","2020-02-17",0,0,0,0
"AFG","2020-02-18",0,0,0,0
"AFG","2020-02-19",0,0,0,0
"AFG","2020-02-20",0,0,0,0
"AFG","2020-02-21",0,0,0,0
"AFG","2020-02-22",0,0,0,0
"AFG","2020-02-23",0,0,0,0
"AFG","2020-02-24",1,1,0,0
"AFG","2020-02-25",1,0,0,0
"AFG","2020-02-26",1,0,0,0
"AFG","2020-02-27",1,0,0,0
"AFG","2020-02-28",1,0,0,0
"AFG","2020-02-29",1,0,0,0
"AFG","2020-03-01",1,0,0,0
"AFG","2020-03-02",1,0,0,0
"AFG","2020-03-03",1,0,0,0
"AFG","2020-03-04",1,0,0,0
"AFG","2020-03-05",1,0,0,0
"AFG","2020-03-06",1,0,0,0
"AFG","2020-03-07",1,0,0,0
"AFG","2020-03-08",4,3,0,0
"AFG","2020-03-09",4,0,0,0
"AFG","2020-03-10",5,1,0,0
"AFG","2020-03-11",7,2,0,0
"AFG","2020-03-12",7,0,0,0
"AFG","2020-03-13",7,0,0,0
"AFG","2020-03-14",11,4,0,0
"AFG","2020-03-15",16,5,0,0
"AFG","2020-03-16",21,5,0,1
"AFG","2020-03-17",22,1,0,1
"AFG","2020-03-18",22,0,0,1
"AFG","2020-03-19",22,0,0,1
"AFG","2020-03-20",24,2,0,1
"AFG","2020-03-21",24,0,0,1
"AFG","2020-03-22",40,16,1,1
"AFG","2020-03-23",40,0,1,1
"AFG","2020-03-24",74,34,1,1
"AFG","2020-03-25",84,10,2,2
"AFG","2020-03-26",94,10,4,2
"AFG","2020-03-27",110,16,4,2
"AFG","2020-03-28",110,0,4,2
"AFG","2020-03-29",120,10,4,2
"AFG","2020-03-30",170,50,4,2
"AFG","2020-03-31",174,4,4,5
"AFG","2020-04-01",237,63,4,5
"AFG","2020-04-02",273,36,6,10
"AFG","2020-04-03",281,8,6,10
"AFG","2020-04-04",299,18,7,10
"AFG","2020-04-05",349,50,7,15
"AFG","2020-04-06",367,18,11,18
"AFG","2020-04-07",423,56,14,18
"AFG","2020-04-08",444,21,14,29
"AFG","2020-04-09",484,40,15,32
"AFG","2020-04-10",521,37,15,32
"AFG","2020-04-11",555,34,18,32
"AFG","2020-04-12",607,52,18,32
"AFG","2020-04-13",665,58,21,32
"AFG","2020-04-14",714,49,23,40
"AFG","2020-04-15",784,70,25,43
"AFG","2020-04-16",840,56,30,54
"AFG","2020-04-17",906,66,30,99
"AFG","2020-04-18",933,27,30,112
"AFG","2020-04-19",996,63,33,131
"AFG","2020-04-20",1026,30,36,135
"AFG","2020-04-21",1092,66,36,150
"AFG","2020-04-22",1176,84,40,166
"AFG","2020-04-23",1279,103,42,179
"AFG","2020-04-24",1351,72,43,188
"AFG","2020-04-25",1463,112,47,188
"AFG","2020-04-26",1531,68,50,207
"AFG","2020-04-27",1703,172,57,220
"AFG","2020-04-28",1828,125,58,228
"AFG","2020-04-29",1939,111,60,252
"AFG","2020-04-30",2171,232,64,260
"AFG","2020-05-01",2335,164,68,310
"AFG","2020-05-02",2469,134,72,331
"AFG","2020-05-03",2704,235,85,345
"AFG","2020-05-04",2894,190,90,397
"AFG","2020-05-05",3224,330,95,421
"AFG","2020-05-06",3392,168,104,458
"AFG","2020-05-07",3563,171,106,468
"AFG","2020-05-08",3778,215,109,472
"AFG","2020-05-09",4033,255,115,502
"AFG","2020-05-10",4402,369,120,558
"AFG","2020-05-11",4687,285,122,558
"AFG","2020-05-12",4963,276,127,610
"AFG","2020-05-13",5226,263,132,648
"AFG","2020-05-14",5639,413,136,691
"AFG","2020-05-15",6053,414,153,745
"AFG","2020-05-16",6402,349,168,745
"AFG","2020-05-17",6664,262,169,778
"AFG","2020-05-18",7072,408,173,801
"AFG","2020-05-19",7653,581,178,850
"AFG","2020-05-20",8145,492,187,930
"AFG","2020-05-21",8676,531,193,938
"AFG","2020-05-22",9216,540,205,996
"AFG","2020-05-23",9998,782,216,1040
"AFG","2020-05-24",10582,584,218,1075
"AFG","2020-05-25",11173,591,219,1097
"AFG","2020-05-26",11831,658,220,1128
"AFG","2020-05-27",12456,625,227,1138
"AFG","2020-05-28",13036,580,235,1209
"AFG","2020-05-29",13659,623,246,1259
"AFG","2020-05-30",14525,866,249,1303
"AFG","2020-05-31",15205,680,257,1328
"AFG","2020-06-01",15750,545,265,1428
"AFG","2020-06-02",16509,759,270,1450
"AFG","2020-06-03",17267,758,294,1522
"AFG","2020-06-04",18054,787,300,1585
"AFG","2020-06-05",18969,915,309,1762
"AFG","2020-06-06",19551,582,327,1830
"AFG","2020-06-07",20342,791,357,1875
"AFG","2020-06-08",20917,575,369,2171
"AFG","2020-06-09",21459,542,384,2651
"AFG","2020-06-10",22142,683,405,3013
"AFG","2020-06-11",22890,748,426,3326
"AFG","2020-06-12",23546,656,446,3928
"AFG","2020-06-13",24102,556,451,4201
"AFG","2020-06-14",24766,664,471,4725
"AFG","2020-06-15",25527,761,478,5164
"AGO","2020-01-22",0,-25527,0,0
"AGO","2020-01-23",0,0,0,0
"AGO","2020-01-24",0,0,0,0
"AGO","2020-01-25",0,0,0,0
"AGO","2020-01-26",0,0,0,0
"AGO","2020-01-27",0,0,0,0
"AGO","2020-01-28",0,0,0,0
"AGO","2020-01-29",0,0,0,0
"AGO","2020-01-30",0,0,0,0
"AGO","2020-01-31",0,0,0,0
"AGO","2020-02-01",0,0,0,0
"AGO","2020-02-02",0,0,0,0
"AGO","2020-02-03",0,0,0,0
"AGO","2020-02-04",0,0,0,0
"AGO","2020-02-05",0,0,0,0
"AGO","2020-02-06",0,0,0,0
"AGO","2020-02-07",0,0,0,0
"AGO","2020-02-08",0,0,0,0
"AGO","2020-02-09",0,0,0,0
"AGO","2020-02-10",0,0,0,0
"AGO","2020-02-11",0,0,0,0
