"date","confirmed"
"2020-01-22",558
"2020-01-23",655
"2020-01-24",945
"2020-01-25",1438
"2020-01-26",2125
"2020-01-27",2937
"2020-01-28",5588
"2020-01-29",6176
"2020-01-30",8244
"2020-01-31",9958
"2020-02-01",12068
"2020-02-02",16826
"2020-02-03",19918
"2020-02-04",23932
"2020-02-05",27684
"2020-02-06",30853
"2020-02-07",34392
"2020-02-08",37118
"2020-02-09",40148
"2020-02-10",42694
"2020-02-11",44736
"2020-02-12",45115
"2020-02-13",60261
"2020-02-14",66735
"2020-02-15",68813
"2020-02-16",70940
"2020-02-17",72878
"2020-02-18",74671
"2020-02-19",75095
"2020-02-20",75859
"2020-02-21",76781
"2020-02-22",79221
"2020-02-23",80057
"2020-02-24",81317
"2020-02-25",82596
"2020-02-26",84408
"2020-02-27",87281
"2020-02-28",90360
"2020-02-29",94696
"2020-03-01",98812
"2020-03-02",102546
"2020-03-03",107631
"2020-03-04",111216
"2020-03-05",115382
"2020-03-06",120811
"2020-03-07",126165
"2020-03-08",130944
"2020-03-09",135215
"2020-03-10",140151
"2020-03-11",148195
"2020-03-12",153741
"2020-03-13",168357
"2020-03-14",179746
"2020-03-15",190707
"2020-03-16",205354
"2020-03-17",221065
"2020-03-18",240571
"2020-03-19",267937
"2020-03-20",297803
"2020-03-21",330386
"2020-03-22",363599
"2020-03-23",404366
"2020-03-24",444771
"2020-03-25",494650
"2020-03-26",556835
"2020-03-27",621105
"2020-03-28",688884
"2020-03-29",748320
"2020-03-30",811413
"2020-03-31",886494
"2020-04-01",962344
"2020-04-02",1043372
"2020-04-03",1126072
"2020-04-04",1206572
"2020-04-05",1280459
"2020-04-06",1352048
"2020-04-07",1427091
"2020-04-08",1511183
"2020-04-09",1597227
"2020-04-10",1689482
"2020-04-11",1767665
"2020-04-12",1866551
"2020-04-13",1936676
"2020-04-14",2007235
"2020-04-15",2087594
"2020-04-16",2183576
"2020-04-17",2272554
"2020-04-18",2346092
"2020-04-19",2428396
"2020-04-20",2502219
"2020-04-21",2576872
"2020-04-22",2652716
"2020-04-23",2741586
"2020-04-24",2828995
"2020-04-25",2914329
"2020-04-26",2988255
"2020-04-27",3057137
"2020-04-28",3130974
"2020-04-29",3206474
"2020-04-30",3291331
"2020-05-01",3379787
"2020-05-02",3461942
"2020-05-03",3541035
"2020-05-04",3617731
"2020-05-05",3698328
"2020-05-06",3790528
"2020-05-07",3881526
"2020-05-08",3974613
"2020-05-09",4060070
"2020-05-10",4138063
"2020-05-11",4214659
"2020-05-12",4298064
"2020-05-13",4383090
"2020-05-14",4481022
"2020-05-15",4578463
"2020-05-16",4671663
"2020-05-17",4751874
"2020-05-18",4840229
"2020-05-19",4936156
"2020-05-20",5035738
"2020-05-21",5142170
"2020-05-22",5250370
"2020-05-23",5350753
"2020-05-24",5447114
"2020-05-25",5533927
"2020-05-26",5628782
"2020-05-27",5731701
"2020-05-28",5849980
"2020-05-29",5971775
"2020-05-30",6100748
"2020-05-31",6208822
"2020-06-01",6305308
"2020-06-02",6418051
"2020-06-03",6549397
"2020-06-04",6673187
"2020-06-05",6806594
"2020-06-06",6933267
"2020-06-07",7046110
"2020-06-08",7149421
"2020-06-09",7272866
"2020-06-10",7406477
"2020-06-11",7544856
"2020-06-12",7674502
"2020-06-13",7809056
"2020-06-14",7942700
"2020-06-15",8064757
