"code","date","confirmed","increase","death","recover"
"CHN","2020-01-22",548,-178888,17,28
"CHN","2020-01-23",643,95,18,30
"CHN","2020-01-24",920,277,26,36
"CHN","2020-01-25",1406,486,42,39
"CHN","2020-01-26",2075,669,56,49
"CHN","2020-01-27",2877,802,82,58
"CHN","2020-01-28",5509,2632,131,101
"CHN","2020-01-29",6087,578,133,120
"CHN","2020-01-30",8141,2054,171,135
"CHN","2020-01-31",9802,1661,213,214
"CHN","2020-02-01",11891,2089,259,275
"CHN","2020-02-02",16630,4739,361,463
"CHN","2020-02-03",19716,3086,425,614
"CHN","2020-02-04",23707,3991,491,843
"CHN","2020-02-05",27440,3733,563,1115
"CHN","2020-02-06",30587,3147,633,1477
"CHN","2020-02-07",34110,3523,718,1999
"CHN","2020-02-08",36814,2704,805,2596
"CHN","2020-02-09",39829,3015,905,3219
"CHN","2020-02-10",42354,2525,1012,3918
"CHN","2020-02-11",44386,2032,1112,4636
"CHN","2020-02-12",44759,373,1117,5082
"CHN","2020-02-13",59895,15136,1369,6217
"CHN","2020-02-14",66358,6463,1521,7977
"CHN","2020-02-15",68413,2055,1663,9298
"CHN","2020-02-16",70513,2100,1766,10755
"CHN","2020-02-17",72434,1921,1864,12462
"CHN","2020-02-18",74211,1777,2003,14206
"CHN","2020-02-19",74619,408,2116,15962
"CHN","2020-02-20",75077,458,2238,18014
"CHN","2020-02-21",75550,473,2238,18704
"CHN","2020-02-22",77001,1451,2443,22699
"CHN","2020-02-23",77022,21,2445,23187
"CHN","2020-02-24",77241,219,2595,25015
"CHN","2020-02-25",77754,513,2665,27676
"CHN","2020-02-26",78166,412,2717,30084
"CHN","2020-02-27",78600,434,2746,32930
"CHN","2020-02-28",78928,328,2790,36329
"CHN","2020-02-29",79356,428,2837,39320
"CHN","2020-03-01",79932,576,2872,42162
"CHN","2020-03-02",80136,204,2914,44854
"CHN","2020-03-03",80261,125,2947,47450
"CHN","2020-03-04",80386,125,2983,50001
"CHN","2020-03-05",80537,151,3015,52292
"CHN","2020-03-06",80690,153,3044,53944
"CHN","2020-03-07",80770,80,3072,55539
"CHN","2020-03-08",80823,53,3100,57388
"CHN","2020-03-09",80860,37,3123,58804
"CHN","2020-03-10",80887,27,3139,60181
"CHN","2020-03-11",80921,34,3161,61644
"CHN","2020-03-12",80932,11,3172,62901
"CHN","2020-03-13",80945,13,3180,64196
"CHN","2020-03-14",80977,32,3193,65660
"CHN","2020-03-15",81003,26,3203,67017
"CHN","2020-03-16",81033,30,3217,67910
"CHN","2020-03-17",81058,25,3230,68798
"CHN","2020-03-18",81102,44,3241,69755
"CHN","2020-03-19",81156,54,3249,70535
"CHN","2020-03-20",81250,94,3253,71266
"CHN","2020-03-21",81305,55,3259,71857
"CHN","2020-03-22",81435,130,3274,72362
"CHN","2020-03-23",81498,63,3274,72814
"CHN","2020-03-24",81591,93,3281,73280
"CHN","2020-03-25",81661,70,3285,73773
"CHN","2020-03-26",81782,121,3291,74181
"CHN","2020-03-27",81897,115,3296,74720
"CHN","2020-03-28",81999,102,3299,75100
"CHN","2020-03-29",82122,123,3304,75582
"CHN","2020-03-30",82198,76,3308,75923
"CHN","2020-03-31",82279,81,3309,76206
"CHN","2020-04-01",82361,82,3316,76405
"CHN","2020-04-02",82432,71,3322,76565
"CHN","2020-04-03",82511,79,3326,76760
"CHN","2020-04-04",82543,32,3330,76946
"CHN","2020-04-05",82602,59,3333,77207
"CHN","2020-04-06",82665,63,3335,77310
"CHN","2020-04-07",82718,53,3335,77410
"CHN","2020-04-08",82809,91,3337,77567
"CHN","2020-04-09",82883,74,3339,77679
"CHN","2020-04-10",82941,58,3340,77791
"CHN","2020-04-11",83014,73,3343,77877
"CHN","2020-04-12",83134,120,3343,77956
"CHN","2020-04-13",83213,79,3345,78039
"CHN","2020-04-14",83306,93,3345,78200
"CHN","2020-04-15",83356,50,3346,78311
"CHN","2020-04-16",83403,47,3346,78401
"CHN","2020-04-17",83760,357,4636,77552
"CHN","2020-04-18",83787,27,4636,77614
"CHN","2020-04-19",83805,18,4636,77690
"CHN","2020-04-20",83817,12,4636,77745
"CHN","2020-04-21",83853,36,4636,77799
"CHN","2020-04-22",83868,15,4636,77861
"CHN","2020-04-23",83884,16,4636,77983
"CHN","2020-04-24",83899,15,4636,78109
"CHN","2020-04-25",83909,10,4636,78175
"CHN","2020-04-26",83912,3,4637,78277
"CHN","2020-04-27",83918,6,4637,78374
"CHN","2020-04-28",83940,22,4637,78422
"CHN","2020-04-29",83944,4,4637,78474
"CHN","2020-04-30",83956,12,4637,78523
"CHN","2020-05-01",83959,3,4637,78573
"CHN","2020-05-02",83959,0,4637,78586
"CHN","2020-05-03",83964,5,4637,78684
"CHN","2020-05-04",83966,2,4637,78792
"CHN","2020-05-05",83968,2,4637,78870
"CHN","2020-05-06",83970,2,4637,78929
"CHN","2020-05-07",83975,5,4637,78977
"CHN","2020-05-08",83976,1,4637,78993
"CHN","2020-05-09",83990,14,4637,79127
"CHN","2020-05-10",84010,20,4637,79167
"CHN","2020-05-11",84011,1,4637,79198
"CHN","2020-05-12",84018,7,4637,79222
"CHN","2020-05-13",84024,6,4637,79246
"CHN","2020-05-14",84029,5,4637,79261
"CHN","2020-05-15",84038,9,4637,79281
"CHN","2020-05-16",84044,6,4638,79293
"CHN","2020-05-17",84054,10,4638,79306
"CHN","2020-05-18",84063,9,4638,79310
"CHN","2020-05-19",84063,0,4638,79310
"CHN","2020-05-20",84063,0,4638,79310
"CHN","2020-05-21",84063,0,4638,79310
"CHN","2020-05-22",84081,18,4638,79332
"CHN","2020-05-23",84084,3,4638,79335
"CHN","2020-05-24",84095,11,4638,79343
"CHN","2020-05-25",84102,7,4638,79352
"CHN","2020-05-26",84103,1,4638,79358
"CHN","2020-05-27",84106,3,4638,79367
"CHN","2020-05-28",84106,0,4638,79371
"CHN","2020-05-29",84123,17,4638,79382
"CHN","2020-05-30",84128,5,4638,79386
"CHN","2020-05-31",84146,18,4638,79389
"CHN","2020-06-01",84154,8,4638,79398
"CHN","2020-06-02",84161,7,4638,79400
"CHN","2020-06-03",84160,-1,4638,79404
"CHN","2020-06-04",84171,11,4638,79415
"CHN","2020-06-05",84177,6,4638,79420
"CHN","2020-06-06",84186,9,4638,79424
"CHN","2020-06-07",84191,5,4638,79434
"CHN","2020-06-08",84195,4,4638,79444
"CHN","2020-06-09",84198,3,4638,79451
"CHN","2020-06-10",84209,11,4638,79456
"CHN","2020-06-11",84216,7,4638,79464
"CHN","2020-06-12",84228,12,4638,79472
"CHN","2020-06-13",84286,58,4638,79475
"CHN","2020-06-14",84335,49,4638,79482
"CHN","2020-06-15",84378,43,4638,79489
"ESP","2020-01-22",0,-9,0,0
"ESP","2020-01-23",0,0,0,0
"ESP","2020-01-24",0,0,0,0
"ESP","2020-01-25",0,0,0,0
"ESP","2020-01-26",0,0,0,0
"ESP","2020-01-27",0,0,0,0
"ESP","2020-01-28",0,0,0,0
"ESP","2020-01-29",0,0,0,0
"ESP","2020-01-30",0,0,0,0
"ESP","2020-01-31",0,0,0,0
"ESP","2020-02-01",1,1,0,0
"ESP","2020-02-02",1,0,0,0
"ESP","2020-02-03",1,0,0,0
"ESP","2020-02-04",1,0,0,0
"ESP","2020-02-05",1,0,0,0
"ESP","2020-02-06",1,0,0,0
"ESP","2020-02-07",1,0,0,0
"ESP","2020-02-08",1,0,0,0
"ESP","2020-02-09",2,1,0,0
"ESP","2020-02-10",2,0,0,0
"ESP","2020-02-11",2,0,0,0
"ESP","2020-02-12",2,0,0,0
"ESP","2020-02-13",2,0,0,0
"ESP","2020-02-14",2,0,0,0
"ESP","2020-02-15",2,0,0,2
"ESP","2020-02-16",2,0,0,2
"ESP","2020-02-17",2,0,0,2
"ESP","2020-02-18",2,0,0,2
"ESP","2020-02-19",2,0,0,2
"ESP","2020-02-20",2,0,0,2
"ESP","2020-02-21",2,0,0,2
"ESP","2020-02-22",2,0,0,2
"ESP","2020-02-23",2,0,0,2
"ESP","2020-02-24",2,0,0,2
"ESP","2020-02-25",6,4,0,2
"ESP","2020-02-26",13,7,0,2
"ESP","2020-02-27",15,2,0,2
"ESP","2020-02-28",32,17,0,2
"ESP","2020-02-29",45,13,0,2
"ESP","2020-03-01",84,39,0,2
"ESP","2020-03-02",120,36,0,2
"ESP","2020-03-03",165,45,1,2
"ESP","2020-03-04",222,57,2,2
"ESP","2020-03-05",259,37,3,2
"ESP","2020-03-06",400,141,5,2
"ESP","2020-03-07",500,100,10,30
"ESP","2020-03-08",673,173,17,30
"ESP","2020-03-09",1073,400,28,32
"ESP","2020-03-10",1695,622,35,32
"ESP","2020-03-11",2277,582,54,183
"ESP","2020-03-12",2277,0,55,183
"ESP","2020-03-13",5232,2955,133,193
"ESP","2020-03-14",6391,1159,195,517
"ESP","2020-03-15",7798,1407,289,517
"ESP","2020-03-16",9942,2144,342,530
"ESP","2020-03-17",11748,1806,533,1028
"ESP","2020-03-18",13910,2162,623,1081
"ESP","2020-03-19",17963,4053,830,1107
"ESP","2020-03-20",20410,2447,1043,1588
"ESP","2020-03-21",25374,4964,1375,2125
"ESP","2020-03-22",28768,3394,1772,2575
"ESP","2020-03-23",35136,6368,2311,2575
"ESP","2020-03-24",39885,4749,2808,3794
"ESP","2020-03-25",49515,9630,3647,5367
"ESP","2020-03-26",57786,8271,4365,7015
"ESP","2020-03-27",65719,7933,5138,9357
"ESP","2020-03-28",73235,7516,5982,12285
"ESP","2020-03-29",80110,6875,6803,14709
"ESP","2020-03-30",87956,7846,7716,16780
"ESP","2020-03-31",95923,7967,8464,19259
"ESP","2020-04-01",104118,8195,9387,22647
"ESP","2020-04-02",112065,7947,10348,26743
"ESP","2020-04-03",119199,7134,11198,30513
"ESP","2020-04-04",126168,6969,11947,34219
"ESP","2020-04-05",131646,5478,12641,38080
"ESP","2020-04-06",136675,5029,13341,40437
"ESP","2020-04-07",141942,5267,14045,43208
"ESP","2020-04-08",148220,6278,14792,48021
"ESP","2020-04-09",153222,5002,15447,52165
"ESP","2020-04-10",158273,5051,16081,55668
"ESP","2020-04-11",163027,4754,16606,59109
"ESP","2020-04-12",166831,3804,17209,62391
"ESP","2020-04-13",170099,3268,17756,64727
"ESP","2020-04-14",172541,2442,18056,67504
"ESP","2020-04-15",177644,5103,18708,70853
"ESP","2020-04-16",184948,7304,19315,74797
"ESP","2020-04-17",190839,5891,20002,74797
"ESP","2020-04-18",191726,887,20043,74797
"ESP","2020-04-19",198674,6948,20453,77357
"ESP","2020-04-20",200210,1536,20852,80587
"ESP","2020-04-21",204178,3968,21282,82514
"ESP","2020-04-22",208389,4211,21717,85915
"ESP","2020-04-23",213024,4635,22157,89250
"ESP","2020-04-24",202990,-10034,22524,92355
"ESP","2020-04-25",205905,2915,22902,95708
"ESP","2020-04-26",207634,1729,23190,98372
"ESP","2020-04-27",209465,1831,23521,100875
"ESP","2020-04-28",210773,1308,23822,102548
"ESP","2020-04-29",212917,2144,24275,108947
"ESP","2020-04-30",213435,518,24543,112050
"ESP","2020-05-01",215216,1781,24543,112050
"ESP","2020-05-02",216582,1366,25100,117248
"ESP","2020-05-03",217466,884,25264,118902
"ESP","2020-05-04",218011,545,25428,121343
"ESP","2020-05-05",219329,1318,25613,123486
"ESP","2020-05-06",220325,996,25857,126002
"ESP","2020-05-07",221447,1122,26070,128511
"ESP","2020-05-08",222857,1410,26299,131148
"ESP","2020-05-09",223578,721,26478,133952
"ESP","2020-05-10",224350,772,26621,136166
"ESP","2020-05-11",227436,3086,26744,137139
"ESP","2020-05-12",228030,594,26920,138980
"ESP","2020-05-13",228691,661,27104,140823
"ESP","2020-05-14",229540,849,27321,143374
"ESP","2020-05-15",230183,643,27459,144783
"ESP","2020-05-16",230698,515,27563,146446
"ESP","2020-05-17",230698,0,27563,146446
"ESP","2020-05-18",231606,908,27709,150376
"ESP","2020-05-19",232037,431,27778,150376
"ESP","2020-05-20",232555,518,27888,150376
"ESP","2020-05-21",233037,482,27940,150376
"ESP","2020-05-22",234824,1787,28628,150376
"ESP","2020-05-23",235290,466,28678,150376
"ESP","2020-05-24",235772,482,28752,150376
"ESP","2020-05-25",235400,-372,26834,150376
"ESP","2020-05-26",236259,859,27117,150376
"ESP","2020-05-27",236259,0,27117,150376
"ESP","2020-05-28",237906,1647,27119,150376
"ESP","2020-05-29",238564,658,27121,150376
"ESP","2020-05-30",239228,664,27125,150376
"ESP","2020-05-31",239479,251,27127,150376
"ESP","2020-06-01",239638,159,27127,150376
"ESP","2020-06-02",239932,294,27127,150376
"ESP","2020-06-03",240326,394,27128,150376
"ESP","2020-06-04",240660,334,27133,150376
"ESP","2020-06-05",240978,318,27134,150376
"ESP","2020-06-06",241310,332,27135,150376
"ESP","2020-06-07",241550,240,27136,150376
"ESP","2020-06-08",241717,167,27136,150376
"ESP","2020-06-09",241966,249,27136,150376
"ESP","2020-06-10",242280,314,27136,150376
"ESP","2020-06-11",242707,427,27136,150376
"ESP","2020-06-12",243209,502,27136,150376
"ESP","2020-06-13",243605,396,27136,150376
"ESP","2020-06-14",243928,323,27136,150376
"ESP","2020-06-15",244109,181,27136,150376
"FRA","2020-01-22",0,-18,0,0
"FRA","2020-01-23",0,0,0,0
"FRA","2020-01-24",2,2,0,0
"FRA","2020-01-25",3,1,0,0
"FRA","2020-01-26",3,0,0,0
"FRA","2020-01-27",3,0,0,0
"FRA","2020-01-28",4,1,0,0
"FRA","2020-01-29",5,1,0,0
"FRA","2020-01-30",5,0,0,0
"FRA","2020-01-31",5,0,0,0
"FRA","2020-02-01",6,1,0,0
"FRA","2020-02-02",6,0,0,0
"FRA","2020-02-03",6,0,0,0
"FRA","2020-02-04",6,0,0,0
"FRA","2020-02-05",6,0,0,0
"FRA","2020-02-06",6,0,0,0
"FRA","2020-02-07",6,0,0,0
"FRA","2020-02-08",11,5,0,0
"FRA","2020-02-09",11,0,0,0
"FRA","2020-02-10",11,0,0,0
"FRA","2020-02-11",11,0,0,0
"FRA","2020-02-12",11,0,0,2
"FRA","2020-02-13",11,0,0,2
"FRA","2020-02-14",11,0,0,2
"FRA","2020-02-15",12,1,1,4
"FRA","2020-02-16",12,0,1,4
"FRA","2020-02-17",12,0,1,4
"FRA","2020-02-18",12,0,1,4
"FRA","2020-02-19",12,0,1,4
"FRA","2020-02-20",12,0,1,4
"FRA","2020-02-21",12,0,1,4
"FRA","2020-02-22",12,0,1,4
"FRA","2020-02-23",12,0,1,4
"FRA","2020-02-24",12,0,1,4
"FRA","2020-02-25",14,2,1,11
"FRA","2020-02-26",18,4,2,11
"FRA","2020-02-27",38,20,2,11
"FRA","2020-02-28",57,19,2,11
"FRA","2020-02-29",100,43,2,12
"FRA","2020-03-01",130,30,2,12
"FRA","2020-03-02",191,61,3,12
"FRA","2020-03-03",204,13,4,12
"FRA","2020-03-04",288,84,4,12
"FRA","2020-03-05",380,92,6,12
"FRA","2020-03-06",656,276,9,12
"FRA","2020-03-07",959,303,11,12
"FRA","2020-03-08",1136,177,19,12
"FRA","2020-03-09",1219,83,19,12
"FRA","2020-03-10",1794,575,33,12
"FRA","2020-03-11",2293,499,48,12
"FRA","2020-03-12",2293,0,48,12
"FRA","2020-03-13",3681,1388,79,12
"FRA","2020-03-14",4496,815,91,12
"FRA","2020-03-15",4532,36,91,12
"FRA","2020-03-16",6683,2151,149,12
"FRA","2020-03-17",7715,1032,149,12
"FRA","2020-03-18",9124,1409,149,12
"FRA","2020-03-19",10970,1846,244,12
"FRA","2020-03-20",12758,1788,451,12
"FRA","2020-03-21",14463,1705,563,12
"FRA","2020-03-22",16243,1780,676,2206
"FRA","2020-03-23",20123,3880,862,2206
"FRA","2020-03-24",22622,2499,1102,3250
"FRA","2020-03-25",25600,2978,1333,3907
"FRA","2020-03-26",29551,3951,1698,4955
"FRA","2020-03-27",33402,3851,1997,5707
"FRA","2020-03-28",38105,4703,2317,5724
"FRA","2020-03-29",40708,2603,2611,7226
"FRA","2020-03-30",45170,4462,3030,7964
"FRA","2020-03-31",52827,7657,3532,9513
"FRA","2020-04-01",57749,4922,4414,11053
"FRA","2020-04-02",59929,2180,5398,12548
"FRA","2020-04-03",65202,5273,6520,14135
"FRA","2020-04-04",69500,4298,7574,15572
"FRA","2020-04-05",71412,1912,8093,16349
"FRA","2020-04-06",75343,3931,8926,17428
"FRA","2020-04-07",79163,3820,10343,19523
"FRA","2020-04-08",83057,3894,10887,21452
"FRA","2020-04-09",87366,4309,12228,23413
"FRA","2020-04-10",91738,4372,13215,25195
"FRA","2020-04-11",94863,3125,13851,26663
"FRA","2020-04-12",121712,26849,14412,27469
"FRA","2020-04-13",125394,3682,14986,28001
"FRA","2020-04-14",130365,4971,15731,28805
"FRA","2020-04-15",133585,3220,17169,30955
"FRA","2020-04-16",146075,12490,17922,32812
"FRA","2020-04-17",148084,2009,18683,34420
"FRA","2020-04-18",148086,2,19325,35983
"FRA","2020-04-19",153011,4925,19720,36578
"FRA","2020-04-20",155393,2382,20267,37409
"FRA","2020-04-21",158168,2775,20798,39181
"FRA","2020-04-22",155980,-2188,21342,40657
"FRA","2020-04-23",158303,2323,21858,42088
"FRA","2020-04-24",159952,1649,22248,43493
"FRA","2020-04-25",161644,1692,22617,44594
"FRA","2020-04-26",162220,576,22859,44903
"FRA","2020-04-27",165963,3743,23296,45513
"FRA","2020-04-28",169053,3090,23663,46886
"FRA","2020-04-29",166543,-2510,24090,48228
"FRA","2020-04-30",167299,756,24379,49476
"FRA","2020-05-01",167305,6,24597,50212
"FRA","2020-05-02",168518,1213,24763,50663
"FRA","2020-05-03",168925,407,24900,50885
"FRA","2020-05-04",169583,658,25204,51476
"FRA","2020-05-05",170687,1104,25537,52842
"FRA","2020-05-06",174224,3537,25812,54079
"FRA","2020-05-07",174918,694,25990,55191
"FRA","2020-05-08",176202,1284,26233,55892
"FRA","2020-05-09",176782,580,26313,56148
"FRA","2020-05-10",177094,312,26383,56327
"FRA","2020-05-11",177547,453,26646,56835
"FRA","2020-05-12",178349,802,26994,57898
"FRA","2020-05-13",178184,-165,27077,58786
"FRA","2020-05-14",178994,810,27428,59719
"FRA","2020-05-15",179630,636,27532,60562
"FRA","2020-05-16",179630,0,27532,60562
"FRA","2020-05-17",179693,63,28111,61327
"FRA","2020-05-18",180051,358,28242,61843
"FRA","2020-05-19",180933,882,28025,62678
"FRA","2020-05-20",181700,767,28135,63472
"FRA","2020-05-21",181951,251,28218,63976
"FRA","2020-05-22",182354,403,28292,64327
"FRA","2020-05-23",182694,340,28335,64665
"FRA","2020-05-24",182709,15,28370,64735
"FRA","2020-05-25",183067,358,28460,65317
"FRA","2020-05-26",182847,-220,28533,65997
"FRA","2020-05-27",183038,191,28599,66702
"FRA","2020-05-28",186364,3326,28665,67309
"FRA","2020-05-29",186923,559,28717,67921
"FRA","2020-05-30",188752,1829,28774,68386
"FRA","2020-05-31",189009,257,28805,68473
"FRA","2020-06-01",189348,339,28836,68558
"FRA","2020-06-02",188450,-898,28943,68930
"FRA","2020-06-03",192330,3880,29024,69573
"FRA","2020-06-04",189569,-2761,29068,70094
"FRA","2020-06-05",190180,611,29114,70622
"FRA","2020-06-06",190759,579,29145,70924
"FRA","2020-06-07",191102,343,29158,70961
"FRA","2020-06-08",191313,211,29212,71182
"FRA","2020-06-09",191523,210,29299,71626
"FRA","2020-06-10",192068,545,29322,71952
"FRA","2020-06-11",192493,425,29349,72269
"FRA","2020-06-12",193220,727,29377,72695
"FRA","2020-06-13",193746,526,29401,72931
"FRA","2020-06-14",194153,407,29410,72982
"FRA","2020-06-15",194305,152,29439,73168
"GBR","2020-01-22",0,-4033,0,0
"GBR","2020-01-23",0,0,0,0
"GBR","2020-01-24",0,0,0,0
"GBR","2020-01-25",0,0,0,0
"GBR","2020-01-26",0,0,0,0
"GBR","2020-01-27",0,0,0,0
"GBR","2020-01-28",0,0,0,0
"GBR","2020-01-29",0,0,0,0
"GBR","2020-01-30",0,0,0,0
"GBR","2020-01-31",2,2,0,0
"GBR","2020-02-01",2,0,0,0
"GBR","2020-02-02",2,0,0,0
"GBR","2020-02-03",2,0,0,0
"GBR","2020-02-04",2,0,0,0
"GBR","2020-02-05",2,0,0,0
"GBR","2020-02-06",2,0,0,0
"GBR","2020-02-07",3,1,0,0
"GBR","2020-02-08",3,0,0,0
"GBR","2020-02-09",3,0,0,0
"GBR","2020-02-10",8,5,0,0
"GBR","2020-02-11",8,0,0,0
"GBR","2020-02-12",9,1,0,1
"GBR","2020-02-13",9,0,0,1
"GBR","2020-02-14",9,0,0,1
"GBR","2020-02-15",9,0,0,1
"GBR","2020-02-16",9,0,0,8
"GBR","2020-02-17",9,0,0,8
"GBR","2020-02-18",9,0,0,8
"GBR","2020-02-19",9,0,0,8
"GBR","2020-02-20",9,0,0,8
"GBR","2020-02-21",9,0,0,8
"GBR","2020-02-22",9,0,0,8
"GBR","2020-02-23",9,0,0,8
"GBR","2020-02-24",13,4,0,8
"GBR","2020-02-25",13,0,0,8
"GBR","2020-02-26",13,0,0,8
"GBR","2020-02-27",15,2,0,8
"GBR","2020-02-28",20,5,0,8
"GBR","2020-02-29",23,3,0,8
"GBR","2020-03-01",36,13,0,8
"GBR","2020-03-02",40,4,0,8
"GBR","2020-03-03",51,11,0,8
"GBR","2020-03-04",86,35,0,8
"GBR","2020-03-05",116,30,0,8
"GBR","2020-03-06",164,48,1,8
"GBR","2020-03-07",207,43,2,18
"GBR","2020-03-08",274,67,2,18
"GBR","2020-03-09",322,48,3,18
"GBR","2020-03-10",384,62,7,19
"GBR","2020-03-11",459,75,7,19
"GBR","2020-03-12",459,0,9,19
"GBR","2020-03-13",802,343,10,19
"GBR","2020-03-14",1144,342,28,19
"GBR","2020-03-15",1145,1,43,19
"GBR","2020-03-16",1551,406,66,21
"GBR","2020-03-17",1960,409,82,53
"GBR","2020-03-18",2642,682,116,67
"GBR","2020-03-19",2716,74,159,67
"GBR","2020-03-20",4014,1298,195,67
"GBR","2020-03-21",5067,1053,251,67
"GBR","2020-03-22",5745,678,286,67
"GBR","2020-03-23",6726,981,360,67
"GBR","2020-03-24",8164,1438,509,140
"GBR","2020-03-25",9640,1476,695,140
"GBR","2020-03-26",11812,2172,879,150
"GBR","2020-03-27",14745,2933,1163,151
"GBR","2020-03-28",17312,2567,1457,151
"GBR","2020-03-29",19780,2468,1672,151
"GBR","2020-03-30",22453,2673,2046,171
"GBR","2020-03-31",25481,3028,2429,179
"GBR","2020-04-01",29865,4384,3100,179
"GBR","2020-04-02",34173,4308,3752,192
"GBR","2020-04-03",38689,4516,4467,208
"GBR","2020-04-04",42477,3788,5228,215
"GBR","2020-04-05",48436,5959,5874,229
"GBR","2020-04-06",52279,3843,6445,287
"GBR","2020-04-07",55949,3670,7483,325
"GBR","2020-04-08",61474,5525,8519,345
"GBR","2020-04-09",65872,4398,9623,359
"GBR","2020-04-10",74605,8733,10776,588
"GBR","2020-04-11",79874,5269,11616,622
"GBR","2020-04-12",85206,5332,12302,626
"GBR","2020-04-13",89570,4364,13047,304
"GBR","2020-04-14",94845,5275,14095,323
"GBR","2020-04-15",99483,4638,14941,368
"GBR","2020-04-16",104145,4662,15974,375
"GBR","2020-04-17",109769,5624,16910,394
"GBR","2020-04-18",115314,5545,18028,414
"GBR","2020-04-19",121172,5858,18527,436
